id,name,city,room_type,host_type,badges,price_str,price_eur,rating_str,rating,nb_reviews,is_new_listing,person_capacity,latitude,longitude
RGVtYW5kU3RheUxpc3Rpbmc6MTY0ODQ3OTQ0OTk1ODYwMTM1MA==,Charmant studio lumineux,Paris,Appartement,Particulier,Annulation gratuite,516 €,516.0,Nouveau,,,True,,48.8561,2.4088
RGVtYW5kU3RheUxpc3Rpbmc6OTk1MzE1MjMwMjAwNTM2MTkx,Studio Cozy Paris - La Défense,Puteaux,Appartement,Particulier,Annulation gratuite,605 €,605.0,"4,77 (189)",4.77,189.0,False,,48.8834,2.2425
RGVtYW5kU3RheUxpc3Rpbmc6MTU3MDg2Nzk1OTQ3MDM4ODU3NA==,Grand studio loft 40 m2 avec terrasse sur la Seine,Neuilly-sur-Seine,Chambre d'hôtes,Professionnel,Annulation gratuite,744 €,744.0,,,,False,,48.8806,2.2512
RGVtYW5kU3RheUxpc3Rpbmc6MTQzNTgwOTkyODUzOTI1Njc3NA==,Studio central - Paris 15e,Paris,Chambre,,Annulation gratuite,505 €,505.0,"4,8 (90)",4.8,90.0,False,,48.83971,2.29405
RGVtYW5kU3RheUxpc3Rpbmc6MTYyOTg4MjgwNjQ5NTU2NTEzMA==,Studio Prestige Eiffel,Paris,Appartement,Particulier,Annulation gratuite,893 €,893.0,Nouveau,,,True,,48.84378,2.29373
RGVtYW5kU3RheUxpc3Rpbmc6MTY1OTQ4MTQ1MDgwMjMxMDMxOQ==,Le Saint-Martin • Studio rénové • Versailles 7 min,Jouy-en-Josas,Appartement,Professionnel,Annulation gratuite,448 €,448.0,"5,0 (4)",5.0,4.0,False,,48.7639,2.1675
RGVtYW5kU3RheUxpc3Rpbmc6MTQ3NjU4NTA3MTA0NTI3ODQxMg==,Charmant deux-pièces à deux pas de Notre-Dame,Paris,Appartement,Particulier,Annulation gratuite,1 142 €,1142.0,"5,0 (5)",5.0,5.0,False,,48.851347607983186,2.346283894478888
RGVtYW5kU3RheUxpc3Rpbmc6MTY1NzMzMjMyMzA1ODMyNzA4MA==,Arc de Triomphe - Tour Eiffel,Paris,Appartement,Particulier,Annulation gratuite,649 €,649.0,Nouveau,,,True,,48.8679,2.2978
RGVtYW5kU3RheUxpc3Rpbmc6MTE3NjY1MTQ5MTU3NjM3Mzg5OQ==,Charmant appartement calme proche de Paris,Saint-Denis,Appartement,Particulier,Annulation gratuite,569 €,569.0,"4,98 (85)",4.98,85.0,False,,48.91175,2.36071
RGVtYW5kU3RheUxpc3Rpbmc6MTY0NTYyMjg3NzIxNTExNDMzMg==,Appartement tendance 2 chambres/6 personnes – Canal Saint-Martin,Paris,Appartement,Professionnel,Annulation gratuite,1 379 €,1379.0,Nouveau,,,True,,48.8817,2.3656
RGVtYW5kU3RheUxpc3Rpbmc6MTk3OTYxNTE=,Magnifique vue Tour Eiffel chambre studio balcon,Paris,Chambre,,,2 089 €,2089.0,"4,85 (689)",4.85,689.0,False,,48.8543,2.2957
RGVtYW5kU3RheUxpc3Rpbmc6MTYyNDEwODUxOTU2MTc2NzQyNw==,Charmant T2 aux portes de Paris à 1 min du métro,Pantin,Appartement,Particulier,Annulation gratuite,,,"4,86 (7)",4.86,7.0,False,,48.88997,2.40323
RGVtYW5kU3RheUxpc3Rpbmc6MTQ1NzEyMjk1OTAzNjU4MzU2Ng==,Studio Douceur,Puteaux,Appartement,Particulier,Annulation gratuite,479 €,479.0,"4,99 (76)",4.99,76.0,False,,48.8863,2.2436
RGVtYW5kU3RheUxpc3Rpbmc6OTI2NjUxMDI5MjMxNTM0Mjc5,Appartement avec vue sur jardin,Suresnes,Appartement,Particulier,Annulation gratuite,671 €,671.0,"4,98 (171)",4.98,171.0,False,,48.8806,2.22597
RGVtYW5kU3RheUxpc3Rpbmc6MTUyOTc3NzU=,Fantastique Vue Tour Eiffel chambre studio balcon,Paris,Chambre,,Annulation gratuite,2 089 €,2089.0,"4,83 (629)",4.83,629.0,False,,48.8543,2.2957
RGVtYW5kU3RheUxpc3Rpbmc6MTI5MTg4MTEzNDM3Mzg5NTA3Nw==,Le Cocon Parisien – havre de paix à Paris,Paris,Appartement,Particulier,Annulation gratuite,1 080 €,1080.0,"4,94 (17)",4.94,17.0,False,,48.8355,2.4033
RGVtYW5kU3RheUxpc3Rpbmc6MTY0ODExMjMyMzQ3MjA5MzE5Ng==,Petit nid cosy aux portes de Paris,Saint-Ouen,Appartement,Professionnel,Annulation gratuite,450 €,450.0,Nouveau,,,True,,48.90161,2.32791
RGVtYW5kU3RheUxpc3Rpbmc6Mzk0ODE2MzY=,PrivateRoom Convention Paris Expo Porte Versailles,Paris,Chambre,,Annulation gratuite,575 €,575.0,"4,86 (328)",4.86,328.0,False,,48.83571,2.29674
RGVtYW5kU3RheUxpc3Rpbmc6MTQ5MDQ5NTY3MzcyMDc3OTU0Mw==,Chambre d’hôte à Paris 12,Paris,Chambre,,Annulation gratuite,,,"4,8 (45)",4.8,45.0,False,,48.84069,2.38937
RGVtYW5kU3RheUxpc3Rpbmc6MTYyMTE4ODQ3Njc1OTg0NjAzMA==,Vue remarquable sur la tour Eiffel,Paris,Appartement,Particulier,Annulation gratuite,1 068 €,1068.0,"5,0 (9)",5.0,9.0,False,,48.83582,2.29832
RGVtYW5kU3RheUxpc3Rpbmc6MTYyMTY2MDAyMDEzMjM2NTQ3OQ==,"Appartement Calme et Centrale, Tout Équipée",Malakoff,Appartement,Particulier,Annulation gratuite,,,"5,0 (6)",5.0,6.0,False,,48.81343,2.29664
RGVtYW5kU3RheUxpc3Rpbmc6MzE0Mjg4,Bed & breakfast Paris gare de Lyon,Paris,Chambre,,Annulation gratuite,625 €,625.0,"4,83 (744)",4.83,744.0,False,,48.84537,2.38132
RGVtYW5kU3RheUxpc3Rpbmc6MTY1MzY1MTQ5MTI3MTQ2NDg3OQ==,Charmant duplex climatisé - Bastille Le Marais,Paris,Appartement,2 lits,Annulation gratuite,952 €,952.0,Nouveau,,,True,,48.854977250288144,2.3708589582921262
RGVtYW5kU3RheUxpc3Rpbmc6MTM2ODAwOTE3OTM1ODk0OTQ3Mg==,Studio Paris - n°3 - 2 pers max - Coin De Paradis,Maisons-Alfort,Maison de ville,Particulier,Annulation gratuite,339 €,339.0,"4,79 (14)",4.79,14.0,False,,48.80466866317749,2.447213178821837
